time,latitude,longitude,depth,mag,,
2020-04-16T09:42:53.968Z,44.7304,9.4252,10,4.5,,
2020-04-16T08:21:55.273Z,-16.2932,178.36,10,5.2,,
2020-04-16T08:15:23.292Z,-60.3107,-27.3045,10,5,,
2020-04-16T08:04:37.597Z,16.9332,-85.7099,10,6,,
2020-04-16T05:29:19.225Z,-13.1501,167.0078,196.18,4.9,,
2020-04-16T05:12:39.718Z,-58.0248,-25.6938,60.14,5.4,,
2020-04-16T04:45:05.426Z,-30.8424,-71.619,35,4.6,,
2020-04-16T02:18:01.618Z,37.0392,141.2857,35,4.6,,
2020-04-16T02:08:30.419Z,6.975,127.2412,10,4.5,,
2020-04-16T01:33:42.693Z,-60.2502,-47.483,10,4.6,,
2020-04-15T23:37:44.171Z,-8.3013,116.9375,10,4.7,,
2020-04-15T22:42:16.767Z,-5.3591,152.7397,17.15,5.2,,
2020-04-15T22:32:12.558Z,-17.8777,66.2345,10,4.6,,
2020-04-15T22:29:49.360Z,40.7745,83.3508,10,4.5,,
2020-04-15T21:46:44.772Z,-6.2464,151.663,10,4.9,,
2020-04-15T21:15:55.040Z,-59.784,-26.4086,82.13,4.9,,
2020-04-15T21:13:21.939Z,-6.2318,151.7804,8.83,4.7,,
2020-04-15T21:10:52.477Z,-9.433,-80.0244,10,4.5,,
2020-04-15T21:03:37.736Z,1.1164,126.6756,37.56,5.7,,
2020-04-15T18:43:39.587Z,52.1675,160.621,10,5,,
2020-04-15T17:45:42.791Z,-19.2936,-172.7835,10,4.9,,
2020-04-15T15:05:52.318Z,-0.2856,-18.6492,10,4.6,,
2020-04-15T13:40:48.935Z,-8.3761,38.6226,10,4.7,,
2020-04-15T13:30:33.554Z,10.7234,-86.2023,16.07,5,,
2020-04-15T10:59:29.077Z,9.0488,-74.4322,53,5.7,,
2020-04-15T10:11:36.934Z,-40.9821,-84.3502,10,4.6,,
2020-04-15T09:44:42.770Z,15.189,-94.1751,35,5,,
2020-04-15T09:18:51.478Z,-19.6743,-70.43,66.52,4.6,,
2020-04-15T07:40:06.069Z,35.8884,35.5123,10,4.7,,
2020-04-15T07:28:04.505Z,26.2657,128.899,10,4.7,,
2020-04-15T07:19:04.313Z,26.2403,128.929,10,5,,
2020-04-15T07:11:05.502Z,-19.8995,148.7159,10,4.9,,
2020-04-15T07:05:08.218Z,-15.2676,-173.3912,57.15,4.9,,
2020-04-15T02:01:05.849Z,19.99,122.0718,10,5.1,,
2020-04-15T01:15:34.990Z,-26.8933,-63.4241,564.85,5.2,,
2020-04-15T01:07:56.375Z,11.3947,125.1117,121.11,4.9,,
2020-04-15T00:19:02.090Z,-20.209,-69.2083,95.68,4.8,,
2020-04-14T19:36:18.843Z,3.5946,96.0132,60.42,4.8,,
2020-04-14T19:20:33.213Z,2.6939,128.2592,55.49,4.9,,
2020-04-14T18:54:41.984Z,-44.4379,-79.7001,10,4.9,,
2020-04-14T18:17:36.875Z,-30.887,-178.5196,99.96,4.8,,
2020-04-14T16:02:10.308Z,-33.8945,-70.4685,107.89,5,,
2020-04-14T15:10:18.568Z,-3.2442,128.8654,10,4.5,,
2020-04-14T15:04:47.821Z,-30.7929,-177.8424,10,4.8,,
2020-04-14T14:29:07.817Z,-60.6564,-26.561,10,4.6,,
2020-04-14T12:04:33.773Z,-25.7637,-69.5315,33.35,4.9,,
2020-04-14T07:28:00.830Z,-15.153,-176.4993,40.73,4.9,,
2020-04-14T06:31:50.590Z,7.158,143.2603,14.47,5,,
2020-04-14T04:10:18.259Z,40.0326,84.5004,10,4.5,,
2020-04-14T02:46:24.656Z,45.2988,150.0233,35,5,,
2020-04-14T02:37:09.750Z,-6.3654,152.0399,10,4.5,,
2020-04-14T01:27:03.362Z,-17.9895,169.024,224.66,4.8,,
2020-04-14T01:06:47.913Z,-30.3889,-176.3478,31,6,,
2020-04-14T01:02:11.217Z,-33.0649,-178.2799,10,4.5,,
2020-04-13T20:44:19.546Z,4.0085,-76.2402,156.54,4.6,,
2020-04-13T18:45:31.586Z,-29.255,-68.0004,106.99,4.9,,
2020-04-13T14:59:35.531Z,0.2905,126.8276,38.49,5,,
2020-04-13T13:18:27.874Z,-14.2634,-73.2125,69.79,5.2,,
2020-04-13T12:05:54.211Z,-2.9424,126.8429,10,4.5,,
